order_id,order_date,customer_id,customer_segment,region,category,sub_category,product_name,sales,quantity,discount,profit,shipping_cost
ORD-1001,2024-01-05,CUST-501,Consumer,North,Electronics,Phones,Smartphone Alpha,899.99,1,0.05,180.50,15.20
ORD-1002,2024-01-07,CUST-502,Corporate,West,Technology,Laptops,Pro Ultrabook 15,1450.00,2,0.10,320.00,25.00
ORD-1003,2024-01-12,CUST-503,Consumer,East,Furniture,Chairs,Ergonomic Office Chair,249.50,3,0.15,45.00,18.50
ORD-1004,2024-01-15,CUST-504,Home Office,South,Office Supplies,Storage,Heavy Duty Filing Box,89.00,4,0.00,22.50,8.00
ORD-1005,2024-01-20,CUST-505,Consumer,North,Technology,Accessories,Wireless Noise-Cancelling Headphones,199.99,2,0.00,60.00,10.00
ORD-1006,2024-01-25,CUST-506,Corporate,East,Furniture,Tables,Executive Wood Desk,850.00,1,0.20,-45.00,55.00
ORD-1007,2024-02-02,CUST-507,Consumer,West,Electronics,Phones,Budget Phone 4G,299.99,2,0.05,50.00,12.00
ORD-1008,2024-02-08,CUST-508,Home Office,North,Technology,Monitors,4K Curved Monitor 32-inch,480.00,2,0.10,95.00,20.00
ORD-1009,2024-02-14,CUST-509,Consumer,South,Office Supplies,Paper,Premium Copy Paper Ream,45.00,5,0.00,15.00,5.00
ORD-1010,2024-02-18,CUST-510,Corporate,West,Office Supplies,Binders,Heavy Binder 3-Ring,32.50,6,0.05,8.20,4.50
ORD-1011,2024-02-23,CUST-511,Consumer,East,Electronics,Audio,Bluetooth Speaker Mini,79.99,3,0.00,28.00,7.00
ORD-1012,2024-03-01,CUST-512,Home Office,North,Furniture,Bookcases,Modern 5-Shelf Bookcase,320.00,1,0.15,35.00,30.00
ORD-1013,2024-03-06,CUST-513,Corporate,South,Technology,Laptops,Enterprise Workstation X,2200.00,2,0.08,490.00,35.00
ORD-1014,2024-03-10,CUST-514,Consumer,West,Technology,Accessories,Mechanical Gaming Keyboard,129.99,2,0.10,34.00,9.00
ORD-1015,2024-03-15,CUST-515,Consumer,East,Office Supplies,Storage,Stackable Drawer Unit,115.00,3,0.00,31.00,12.00
ORD-1016,2024-03-22,CUST-516,Home Office,North,Furniture,Chairs,Mesh Task Swivel Chair,175.00,2,0.10,28.00,16.00
ORD-1017,2024-04-03,CUST-517,Corporate,West,Technology,Monitors,Ultrawide 34-inch Display,650.00,1,0.05,130.00,22.00
ORD-1018,2024-04-09,CUST-518,Consumer,South,Office Supplies,Appliances,Compact Desktop Shredder,85.00,2,0.00,21.00,8.50
ORD-1019,2024-04-14,CUST-519,Consumer,East,Electronics,Phones,Smartphone Pro Max,1199.00,1,0.00,290.00,18.00
ORD-1020,2024-04-19,CUST-520,Home Office,North,Technology,Accessories,USB-C Multi-port Dock,89.50,3,0.10,26.00,6.00
ORD-1021,2024-05-02,CUST-521,Corporate,West,Furniture,Tables,Adjustable Standing Desk,720.00,2,0.15,110.00,45.00
ORD-1022,2024-05-08,CUST-522,Consumer,East,Office Supplies,Paper,Cardstock Specialty Pack,60.00,4,0.00,18.00,5.00
ORD-1023,2024-05-15,CUST-523,Consumer,North,Technology,Laptops,Lightweight Chromebook,350.00,3,0.10,55.00,15.00
ORD-1024,2024-05-21,CUST-524,Home Office,South,Office Supplies,Storage,Locking File Cabinet,210.00,1,0.20,-15.00,28.00
ORD-1025,2024-05-28,CUST-525,Corporate,East,Electronics,Audio,Studio Reference Headphones,249.00,2,0.05,65.00,11.00
ORD-1026,2024-06-04,CUST-526,Consumer,West,Furniture,Chairs,High-Back Leather Executive Chair,380.00,1,0.10,60.00,26.00
ORD-1027,2024-06-11,CUST-527,Consumer,North,Technology,Monitors,Gaming Monitor 144Hz 27-inch,320.00,2,0.05,72.00,17.00
ORD-1028,2024-06-18,CUST-528,Corporate,South,Office Supplies,Binders,Presentation Ring Binders (Box),75.00,5,0.00,25.00,7.00
ORD-1029,2024-06-25,CUST-529,Home Office,East,Electronics,Phones,Refurbished Smart Device,180.00,2,0.15,30.00,9.00
ORD-1030,2024-06-30,CUST-530,Consumer,West,Technology,Accessories,Ergonomic Wireless Mouse,49.99,4,0.00,19.00,4.50
